date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,outcome,hits_actual,pnl,pnl_weighted
2026-04-25,824613,686894,Joey Wiemer,WSH,CWS,A,7,True,,4.0,R,L,1,1,1,0,0.772894283135732,-340,Joey Wiemer,draftkings,-104,-127,2026-04-25T15:43:49.799666+00:00,0.516061863073936,True,miss,0,-1.0,-1.0
2026-04-25,823070,641598,Mitch Garver,SEA,STL,A,7,True,,4.0,R,L,1,1,1,0,0.7154145439465841,-251,Mitch Garver,draftkings,-115,-115,2026-04-25T15:43:49.799666+00:00,0.3375141473783963,True,hit,2,0.8695652173913043,0.8695652173913043
2026-04-25,822826,677587,Brayan Rocchio,CLE,TOR,A,9,True,,3.8,L,R,1,1,1,0,0.712365726629893,-248,Brayan Rocchio,draftkings,-115,-116,2026-04-25T15:43:49.799666+00:00,0.3318141845689303,True,hit,1,0.8695652173913043,0.8695652173913043
2026-04-25,824851,677942,Blaze Alexander,BAL,BOS,H,9,True,,3.75,R,L,1,1,1,0,0.7402409911155701,-285,Blaze Alexander,draftkings,-131,-101,2026-04-25T15:43:49.799666+00:00,0.3053104499824175,True,miss,0,-1.0,-1.0
2026-04-25,824851,691723,Coby Mayo,BAL,BOS,H,8,True,,3.85,R,L,1,1,1,0,0.7132667700449625,-249,Coby Mayo,draftkings,-123,-108,2026-04-25T15:43:49.799666+00:00,0.2931584530083466,True,hit,1,0.8130081300813008,0.8130081300813008
2026-04-25,824203,641857,Ryan McMahon,NYY,HOU,A,9,False,0.9230769230769232,3.8,L,R,1,1,1,0,0.7198083599408468,-257,Ryan McMahon,draftkings,-128,-103,2026-04-25T15:43:49.799666+00:00,0.2821586411446334,True,hit,2,0.78125,0.78125
2026-04-25,822989,670242,Matt Wallner,MIN,TB,A,7,True,,4.0,L,L,0,1,1,0,0.6594088673591614,-194,Matt Wallner,draftkings,-110,-120,2026-04-25T15:43:49.799666+00:00,0.2588714740493081,True,miss,0,-1.0,-1.0
2026-04-25,824613,696285,Jacob Young,WSH,CWS,A,6,True,,4.1,R,L,1,1,1,0,0.7860751152038574,-367,Jacob Young,draftkings,-167,126,2026-04-25T15:43:49.799666+00:00,0.2567787770025744,True,hit,1,0.5988023952095808,0.5988023952095808
2026-04-25,824851,641933,Tyler O'Neill,BAL,BOS,H,5,True,,4.15,R,L,1,1,1,0,0.7757108608881632,-346,Tyler O'Neill,draftkings,-164,123,2026-04-25T15:43:49.799666+00:00,0.2487052882589944,True,hit,1,0.6097560975609756,0.6097560975609756
2026-04-25,823229,687551,Drew Gilbert,SF,MIA,H,8,True,,3.85,L,R,1,1,1,0,0.6391793290774027,-177,Drew Gilbert,draftkings,-105,-126,2026-04-25T15:43:49.799666+00:00,0.2479215472463576,True,hit,1,0.9523809523809524,0.9523809523809524
2026-04-25,824851,669236,Jeremiah Jackson,BAL,BOS,H,6,True,,4.05,R,L,1,1,1,0,0.7736936410268148,-342,Jeremiah Jackson,draftkings,-166,125,2026-04-25T15:43:49.799666+00:00,0.2397741476694743,True,hit,1,0.6024096385542169,0.6024096385542169
2026-04-25,824613,660688,Keibert Ruiz,WSH,CWS,A,9,True,,3.8,L,L,0,1,1,0,0.7643538514773051,-324,Keibert Ruiz,draftkings,-161,121,2026-04-25T15:43:49.799666+00:00,0.2391077964942646,True,hit,1,0.6211180124223602,0.6211180124223602
2026-04-25,824851,655316,Andruw Monasterio,BOS,BAL,A,5,True,,4.2,R,L,1,1,1,0,0.7154145439465841,-251,Andruw Monasterio,draftkings,-138,104,2026-04-25T15:43:49.799666+00:00,0.2338308801397609,True,hit,3,0.7246376811594203,0.7246376811594203
2026-04-25,822910,701762,Nick Kurtz,ATH,TEX,A,1,False,1.0,4.6,L,L,0,1,1,0,0.7543654441833496,-307,Nick Kurtz,draftkings,-159,119,2026-04-25T15:43:49.799666+00:00,0.2288091197703619,True,miss,0,-1.0,-1.0
2026-04-25,823799,669003,Garrett Mitchell,MIL,PIT,H,7,False,1.0,3.95,L,R,1,1,1,0,0.6982729037602743,-231,Garrett Mitchell,draftkings,-133,100,2026-04-25T15:43:49.799666+00:00,0.2232901246326609,True,hit,1,0.7518796992481203,0.7518796992481203
2026-04-25,823799,664040,Brandon Lowe,PIT,MIL,A,2,False,0.8461538461538461,4.5,L,R,1,1,1,0,0.6909435391426086,-224,Brandon Lowe,draftkings,-131,-101,2026-04-25T15:43:49.799666+00:00,0.2183813552820046,True,hit,1,0.7633587786259542,0.7633587786259542
2026-04-25,822826,656555,Rhys Hoskins,CLE,TOR,A,4,True,,4.3,R,R,0,1,1,0,0.7024908860524496,-236,Rhys Hoskins,draftkings,-137,103,2026-04-25T15:43:49.799666+00:00,0.2152579561637266,True,hit,1,0.7299270072992701,0.7299270072992701
2026-04-25,822989,680700,Richie Palacios,TB,MIN,H,9,True,,3.75,L,R,1,1,1,0,0.7024908860524496,-236,Richie Palacios,draftkings,-137,103,2026-04-25T15:43:49.799666+00:00,0.2152579561637266,True,miss,0,-1.0,-1.0
2026-04-25,824527,690993,Colt Keith,DET,CIN,A,3,False,0.8461538461538461,4.4,L,R,1,1,1,0,0.7777076164881388,-350,Colt Keith,draftkings,-183,137,2026-04-25T15:43:49.799666+00:00,0.2026844560991436,True,hit,1,0.546448087431694,0.546448087431694
2026-04-25,824851,657136,Connor Wong,BOS,BAL,A,8,True,,3.9,R,L,1,1,1,0,0.7047263383865356,-239,Connor Wong,draftkings,-143,107,2026-04-25T15:43:49.799666+00:00,0.1975419596358612,True,hit,1,0.6993006993006993,0.6993006993006993
