date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass
2026-04-26,823797,695257,Billy Cook,PIT,MIL,A,9,True,,3.8,R,L,1,1,1,0,0.7052740434332989,-239,Billy Cook,draftkings,110,-147,2026-04-26T17:43:16.373033+00:00,0.48107549120992776,True
2026-04-26,823068,656582,Connor Joe,SEA,STL,A,7,True,,4.0,R,R,0,1,1,0,0.8275862068965517,-480,Connor Joe,draftkings,-142,107,2026-04-26T17:43:16.373033+00:00,0.41039339485186976,True
2026-04-26,823230,683357,Owen Caissie,MIA,SF,A,6,True,,4.1,L,R,1,1,1,0,0.731638418079096,-273,Owen Caissie,draftkings,-112,-119,2026-04-26T17:43:16.373033+00:00,0.38488700564971745,True
2026-04-26,824202,641857,Ryan McMahon,NYY,HOU,A,8,True,,3.9,L,R,1,1,1,0,0.6975425330812854,-231,Ryan McMahon,draftkings,-108,-123,2026-04-26T17:43:16.373033+00:00,0.34341524889729047,True
2026-04-26,823959,669289,Santiago Espinal,LAD,CHC,H,8,True,,3.85,R,L,1,1,1,0,0.7528089887640449,-305,Santiago Espinal,draftkings,-130,-102,2026-04-26T17:43:16.373033+00:00,0.33189282627484873,True
2026-04-26,822911,696030,Alejandro Osuna,TEX,ATH,H,9,True,,3.75,L,R,1,1,1,0,0.782608695652174,-360,Alejandro Osuna,draftkings,-145,109,2026-04-26T17:43:16.373033+00:00,0.3223388305847077,True
2026-04-26,823797,669003,Garrett Mitchell,MIL,PIT,H,5,True,,4.15,L,R,1,1,1,0,0.7052740434332989,-239,Garrett Mitchell,draftkings,-115,-116,2026-04-26T17:43:16.373033+00:00,0.31855582033181973,True
2026-04-26,822911,687231,Darell Hernaiz,ATH,TEX,A,9,True,,3.8,R,R,0,1,1,0,0.731638418079096,-273,Darell Hernaiz,draftkings,-127,-104,2026-04-26T17:43:16.373033+00:00,0.3077316606610614,True
2026-04-26,823230,681715,Heriberto Hernández,MIA,SF,A,9,True,,3.8,R,R,0,1,1,0,0.7052740434332989,-239,Heriberto Hernandez,draftkings,-127,-105,2026-04-26T17:43:16.373033+00:00,0.2606079359004635,True
2026-04-26,823797,663698,Joey Bart,PIT,MIL,A,8,True,,3.9,R,L,1,1,1,0,0.6975425330812854,-231,Joey Bart,draftkings,-124,-107,2026-04-26T17:43:16.373033+00:00,0.26007683395328984,True
2026-04-26,823068,670042,Luke Raley,SEA,STL,A,5,True,,4.2,L,R,1,1,1,0,0.7528089887640449,-305,Luke Raley,draftkings,-151,114,2026-04-26T17:43:16.373033+00:00,0.2513579879455316,True
2026-04-26,823797,641343,Jake Bauers,MIL,PIT,H,3,True,,4.35,L,R,1,1,1,0,0.7509727626459144,-302,Jake Bauers,draftkings,-152,114,2026-04-26T17:43:16.373033+00:00,0.24503379070243708,True
2026-04-26,824612,696285,Jacob Young,WSH,CWS,A,6,True,,4.1,R,L,1,1,1,0,0.731638418079096,-273,Jacob Young,draftkings,-143,107,2026-04-26T17:43:16.373033+00:00,0.24327367547706524,True
2026-04-26,823230,689414,Liam Hicks,MIA,SF,A,5,True,,4.2,L,R,1,1,1,0,0.7528089887640449,-305,Liam Hicks,draftkings,-156,117,2026-04-26T17:43:16.373033+00:00,0.23537885335638142,True
