date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-04-29,824525,681198,TJ Rumfield,COL,CIN,A,3,True,,4.4,L,L,0,1,1,0,0.9,1,0.3181818181818182,2.0,0,2,-900,TJ Rumfield,draftkings,-197,147,2026-04-29T22:13:34.541195+00:00,0.3568527918781726,True,6:40 PM ET,hit,2,0.5076142131979695,1.015228426395939
2026-04-29,824525,686668,Brenton Doyle,COL,CIN,A,2,True,,4.5,R,L,1,1,1,0,0.8418079096045198,0,0.1764705882352941,1.0,0,2,-532,Brenton Doyle,draftkings,-171,129,2026-04-29T22:13:34.541195+00:00,0.3340932368586249,True,6:40 PM ET,hit,2,0.5847953216374269,0.5847953216374269
2026-04-29,824525,691720,Kyle Karros,COL,CIN,A,7,True,,4.0,R,L,1,1,1,0,0.8075040783034257,0,0.1428571428571428,1.0,0,2,-419,Kyle Karros,draftkings,-158,119,2026-04-29T22:13:34.541195+00:00,0.3185826088752141,True,6:40 PM ET,hit,1,0.6329113924050633,0.6329113924050633
2026-04-29,824525,678662,Ezequiel Tovar,COL,CIN,A,8,True,,3.9,R,L,1,1,1,0,0.8075040783034257,0,0.0909090909090909,1.0,0,2,-419,Ezequiel Tovar,draftkings,-178,133,2026-04-29T22:13:34.541195+00:00,0.261158054878384,True,6:40 PM ET,hit,1,0.5617977528089888,0.5617977528089888
2026-04-29,824525,664954,Brett Sullivan,COL,CIN,A,6,True,,4.1,L,L,0,1,1,0,0.8075040783034257,0,0.2105263157894736,1.0,0,2,-419,Brett Sullivan,draftkings,-190,142,2026-04-29T22:13:34.541195+00:00,0.2325062247789129,True,6:40 PM ET,hit,3,0.5263157894736842,0.5263157894736842
2026-04-29,823392,687363,Victor Scott II,STL,PIT,A,9,True,,3.8,L,R,1,1,1,0,0.6702508960573477,0,0.1,1.0,0,9,-203,Victor Scott II,draftkings,-121,-109,2026-04-29T22:13:34.541195+00:00,0.2241772564353209,True,6:40 PM ET,miss,0,-1.0,-1.0
2026-04-29,824525,663993,Nathaniel Lowe,CIN,COL,H,5,True,,4.15,L,R,1,1,1,0,0.8075040783034257,1,0.36,2.0,0,2,-419,Nathaniel Lowe,draftkings,-211,157,2026-04-29T22:13:34.541195+00:00,0.190207432949599,True,6:40 PM ET,miss,0,-1.0,-2.0
2026-04-29,823392,671056,Iván Herrera,STL,PIT,A,2,True,,4.5,R,R,0,1,1,0,0.8075040783034257,0,0.2777777777777778,1.0,0,9,-419,Ivan Herrera,draftkings,-213,159,2026-04-29T22:13:34.541195+00:00,0.186613974220527,True,6:40 PM ET,hit,2,0.4694835680751174,0.4694835680751174
2026-04-29,824525,666160,Mickey Moniak,COL,CIN,A,9,True,,3.8,L,L,0,1,1,0,0.7475728155339806,1,0.4,2.0,0,2,-296,Mickey Moniak,draftkings,-177,133,2026-04-29T22:13:34.541195+00:00,0.1699303384345346,True,6:40 PM ET,hit,1,0.5649717514124294,1.1299435028248588
2026-04-29,823392,691026,Masyn Winn,STL,PIT,A,6,True,,4.1,R,R,0,1,1,0,0.7560975609756098,1,0.3076923076923077,2.0,0,9,-310,Masyn Winn,draftkings,-192,143,2026-04-29T22:13:34.541195+00:00,0.1498983739837399,True,6:40 PM ET,miss,0,-1.0,-2.0
2026-04-29,824525,687597,Jordan Beck,COL,CIN,A,1,True,,4.6,R,L,1,1,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Jordan Beck,draftkings,-238,176,2026-04-29T22:13:34.541195+00:00,0.1467915061620079,True,6:40 PM ET,miss,0,-1.0,-2.0
2026-04-29,824525,650489,Willi Castro,COL,CIN,A,5,True,,4.2,L,L,0,1,1,0,0.7565938206480783,1,0.4285714285714285,2.0,0,2,-311,Willi Castro,draftkings,-194,145,2026-04-29T22:13:34.541195+00:00,0.146590635415129,True,6:40 PM ET,hit,2,0.5154639175257731,1.0309278350515465
2026-04-29,823392,669357,Nolan Gorman,STL,PIT,A,5,True,,4.2,L,R,1,1,1,0,0.6679160419790104,0,0.2857142857142857,1.0,0,9,-201,Nolan Gorman,draftkings,-146,110,2026-04-29T22:13:34.541195+00:00,0.1253927830605244,True,6:40 PM ET,miss,0,-1.0,-1.0
2026-04-29,824525,668715,Spencer Steer,CIN,COL,H,6,True,,4.05,R,R,0,0,1,0,0.7565938206480783,0,0.238095238095238,1.0,0,2,-311,Spencer Steer,draftkings,-208,155,2026-04-29T22:13:34.541195+00:00,0.1203408498058083,True,6:40 PM ET,hit,1,0.4807692307692308,0.4807692307692308
2026-04-29,823392,691023,Jordan Walker,STL,PIT,A,4,True,,4.3,R,R,0,1,1,0,0.7565938206480783,0,0.1904761904761904,1.0,0,9,-311,Jordan Walker,draftkings,-211,157,2026-04-29T22:13:34.541195+00:00,0.1151690910974045,True,6:40 PM ET,hit,1,0.4739336492890995,0.4739336492890995
2026-04-29,823633,686894,Joey Wiemer,WSH,NYM,A,7,True,,4.0,R,L,1,1,1,0,0.7565938206480783,0,0.2307692307692307,1.0,0,2,-311,Joey Wiemer,draftkings,-115,-116,2026-04-29T22:13:34.541195+00:00,0.414501490776842,True,7:10 PM ET,hit,2,0.8695652173913043,0.8695652173913043
2026-04-29,823633,695578,James Wood,WSH,NYM,A,1,True,,4.6,L,L,0,1,1,0,0.9,0,0.2105263157894736,1.0,0,2,-900,James Wood,draftkings,-178,134,2026-04-29T22:13:34.541195+00:00,0.4056179775280899,True,7:10 PM ET,hit,2,0.5617977528089888,0.5617977528089888
2026-04-29,823633,678554,Curtis Mead,WSH,NYM,A,2,True,,4.5,R,L,1,1,1,0,0.8075040783034257,0,0.1176470588235294,1.0,0,2,-419,Curtis Mead,draftkings,-175,131,2026-04-29T22:13:34.541195+00:00,0.2689349801910976,True,7:10 PM ET,hit,4,0.5714285714285714,0.5714285714285714
2026-04-29,823633,682928,CJ Abrams,WSH,NYM,A,4,True,,4.3,L,L,0,1,1,0,0.8075040783034257,0,0.15,1.0,0,2,-419,CJ Abrams,draftkings,-175,131,2026-04-29T22:13:34.541195+00:00,0.2689349801910976,True,7:10 PM ET,hit,3,0.5714285714285714,0.5714285714285714
2026-04-29,823633,695734,Daylen Lile,WSH,NYM,A,6,True,,4.1,L,L,0,1,1,0,0.8418079096045198,0,0.238095238095238,1.0,0,2,-532,Daylen Lile,draftkings,-200,149,2026-04-29T22:13:34.541195+00:00,0.2627118644067797,True,7:10 PM ET,hit,1,0.5,0.5
2026-04-29,823633,691781,Brady House,WSH,NYM,A,3,True,,4.4,R,L,1,1,1,0,0.8075040783034257,0,0.1904761904761904,1.0,0,2,-419,Brady House,draftkings,-192,143,2026-04-29T22:13:34.541195+00:00,0.22807911908646,True,7:10 PM ET,hit,1,0.5208333333333334,0.5208333333333334
2026-04-29,823633,696285,Jacob Young,WSH,NYM,A,5,True,,4.2,R,L,1,1,1,0,0.8075040783034257,0,0.1818181818181818,1.0,0,2,-419,Jacob Young,draftkings,-197,147,2026-04-29T22:13:34.541195+00:00,0.2174046256655707,True,7:10 PM ET,hit,1,0.5076142131979695,0.5076142131979695
2026-04-29,823633,665742,Juan Soto,NYM,WSH,H,2,True,,4.45,L,R,1,1,1,0,0.825,0,0.2105263157894736,1.0,0,2,-471,Juan Soto,draftkings,-212,158,2026-04-29T22:13:34.541195+00:00,0.2141509433962263,True,7:10 PM ET,hit,3,0.4716981132075472,0.4716981132075472
2026-04-29,823633,621438,Tyrone Taylor,NYM,WSH,H,6,True,,4.05,R,R,0,0,1,0,0.6702508960573477,0,0.2,1.0,0,2,-203,Tyrone Taylor,draftkings,-128,-103,2026-04-29T22:13:34.541195+00:00,0.1938844086021505,True,7:10 PM ET,hit,2,0.78125,0.78125
2026-04-29,823633,683146,Brett Baty,NYM,WSH,H,5,True,,4.15,L,R,1,1,1,0,0.7565938206480783,0,0.2222222222222222,1.0,0,2,-311,Brett Baty,draftkings,-184,138,2026-04-29T22:13:34.541195+00:00,0.1677861144785556,True,7:10 PM ET,hit,1,0.5434782608695652,0.5434782608695652
2026-04-29,823633,660688,Keibert Ruiz,WSH,NYM,A,9,True,,3.8,L,L,0,1,1,0,0.6679160419790104,0,0.2352941176470588,1.0,0,2,-201,Keibert Ruiz,draftkings,-138,104,2026-04-29T22:13:34.541195+00:00,0.1519131738478585,True,7:10 PM ET,miss,0,-1.0,-1.0
2026-04-29,823633,677595,Ronny Mauricio,NYM,WSH,H,9,True,,3.75,L,R,1,1,1,0,0.6679160419790104,0,0.2777777777777778,1.0,0,2,-201,Ronny Mauricio,draftkings,-140,105,2026-04-29T22:13:34.541195+00:00,0.144998929106875,True,7:10 PM ET,miss,0,-1.0,-1.0
2026-04-29,823633,701807,Carson Benge,NYM,WSH,H,7,True,,3.95,L,R,1,1,1,0,0.6638297872340425,1,0.3684210526315789,2.0,0,2,-197,Carson Benge,draftkings,-138,104,2026-04-29T22:13:34.541195+00:00,0.1448658649398704,True,7:10 PM ET,miss,0,-1.0,-2.0
2026-04-29,823633,683083,Nasim Nuñez,WSH,NYM,A,8,True,,3.9,L,L,0,1,1,0,0.6679160419790104,0,0.2631578947368421,1.0,0,2,-201,Nasim Nunez,draftkings,-148,111,2026-04-29T22:13:34.541195+00:00,0.1192106649378012,True,7:10 PM ET,hit,1,0.6756756756756757,0.6756756756756757
2026-04-29,824930,690993,Colt Keith,DET,ATL,A,3,True,,4.4,L,R,1,1,1,0,0.8955912446394537,1,0.375,2.0,0,2,-858,Colt Keith,draftkings,-198,148,2026-04-29T22:13:34.541195+00:00,0.3479100550634202,True,7:15 PM ET,hit,1,0.5050505050505051,1.0101010101010102
2026-04-29,824930,642201,Eli White,ATL,DET,H,8,True,,3.85,R,L,1,1,1,0,0.6679160419790104,0,0.25,1.0,0,2,-201,Eli White,draftkings,-109,-121,2026-04-29T22:13:34.541195+00:00,0.2806830529689283,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,824930,650402,Gleyber Torres,DET,ATL,A,2,True,,4.5,R,R,0,1,1,0,0.8418079096045198,0,0.2631578947368421,1.0,0,2,-532,Gleyber Torres,draftkings,-207,154,2026-04-29T22:13:34.541195+00:00,0.2484783973361718,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,824930,682985,Riley Greene,DET,ATL,A,4,True,,4.3,L,R,1,1,1,0,0.8418079096045198,1,0.391304347826087,2.0,0,2,-532,Riley Greene,draftkings,-213,159,2026-04-29T22:13:34.541195+00:00,0.2370228906395056,True,7:15 PM ET,hit,1,0.4694835680751174,0.9389671361502347
2026-04-29,824930,679529,Spencer Torkelson,DET,ATL,A,7,True,,4.0,R,R,0,1,1,0,0.7565938206480783,1,0.3636363636363636,2.0,0,2,-311,Spencer Torkelson,draftkings,-162,122,2026-04-29T22:13:34.541195+00:00,0.2236270432703488,True,7:15 PM ET,miss,0,-1.0,-2.0
2026-04-29,824930,663586,Austin Riley,ATL,DET,H,5,True,,4.15,R,L,1,1,1,0,0.7560975609756098,0,0.0869565217391304,1.0,0,2,-310,Austin Riley,draftkings,-172,129,2026-04-29T22:13:34.541195+00:00,0.1956891661939875,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,824930,681481,Kerry Carpenter,DET,ATL,A,6,True,,4.1,L,R,1,1,1,0,0.7560975609756098,0,0.2777777777777778,1.0,0,2,-310,Kerry Carpenter,draftkings,-174,130,2026-04-29T22:13:34.541195+00:00,0.1906363891225119,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,824930,660670,Ronald Acuña Jr.,ATL,DET,H,1,True,,4.55,R,L,1,1,1,0,0.8075040783034257,0,0.2727272727272727,1.0,0,2,-419,Ronald Acuna Jr.,draftkings,-226,167,2026-04-29T22:13:34.541195+00:00,0.1648067678182159,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,824930,643289,Mauricio Dubón,ATL,DET,H,6,True,,4.05,R,L,1,1,1,0,0.7475728155339806,0,0.1739130434782608,1.0,0,2,-296,Mauricio Dubon,draftkings,-181,136,2026-04-29T22:13:34.541195+00:00,0.1605964705251301,True,7:15 PM ET,miss,0,-1.0,-1.0
2026-04-29,823796,571448,Nolan Arenado,AZ,MIL,A,7,True,,4.0,R,R,0,1,1,0,0.7565938206480783,1,0.5789473684210527,2.0,0,2,-311,Nolan Arenado,draftkings,-156,118,2026-04-29T22:13:34.541195+00:00,0.2415898595250517,True,7:40 PM ET,hit,1,0.6410256410256411,1.2820512820512822
2026-04-29,823796,680728,Adrian Del Castillo,AZ,MIL,A,4,True,,4.3,L,R,1,1,1,0,0.7422680412371134,0,0.1578947368421052,1.0,0,2,-288,Adrian Del Castillo,draftkings,-151,114,2026-04-29T22:13:34.541195+00:00,0.2338362804669899,True,7:40 PM ET,hit,1,0.6622516556291391,0.6622516556291391
2026-04-29,823796,545121,Ildemaro Vargas,AZ,MIL,A,5,True,,4.2,L,R,1,1,1,0,0.8075040783034257,1,0.375,2.0,0,2,-419,Ildemaro Vargas,draftkings,-222,165,2026-04-29T22:13:34.541195+00:00,0.1712446541157796,True,7:40 PM ET,hit,2,0.4504504504504504,0.9009009009009008
