date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass
2026-04-29,824445,676439,Hunter Feduccia,TB,CLE,A,8,True,,3.9,L,R,1,1,1,0,0.6312684365781711,0,0.3,1.0,0,6,-171,Hunter Feduccia,draftkings,128,-171,2026-04-29T15:39:23.928547+00:00,0.43929203539823014,True
2026-04-29,823958,683357,Owen Caissie,MIA,LAD,A,7,False,1.0,4.0,L,R,1,1,1,0,0.7052740434332989,0,0.11764705882352941,1.0,0,1,-239,Owen Caissie,draftkings,102,-135,2026-04-29T15:39:23.928547+00:00,0.42465356773526386,True
2026-04-29,824445,680700,Richie Palacios,TB,CLE,A,7,True,,4.0,L,R,1,1,1,0,0.7283950617283951,0,0.13333333333333333,1.0,0,6,-268,Richie Palacios,draftkings,-111,-119,2026-04-29T15:39:23.928547+00:00,0.3846068290512735,True
2026-04-29,823717,670042,Luke Raley,SEA,MIN,A,6,True,,4.1,L,R,1,1,1,0,0.782608695652174,0,0.0,1.0,0,9,-360,Luke Raley,draftkings,-134,101,2026-04-29T15:39:23.928547+00:00,0.36664503569110973,True
2026-04-29,824445,670764,Taylor Walls,TB,CLE,A,9,True,,3.8,L,R,1,1,1,0,0.6035805626598467,0,0.13333333333333333,1.0,0,6,-152,Taylor Walls,draftkings,125,-167,2026-04-29T15:39:23.928547+00:00,0.3580562659846551,True
2026-04-29,824608,656537,Derek Hill,CWS,LAA,H,7,True,,3.95,R,L,1,1,1,0,0.731638418079096,0,0.14285714285714285,1.0,0,6,-273,Derek Hill,draftkings,-126,-105,2026-04-29T15:39:23.928547+00:00,0.3123038292529817,True
2026-04-29,824608,808959,Munetaka Murakami,CWS,LAA,H,3,True,,4.35,L,L,0,0,1,0,0.7509727626459144,0,0.19230769230769232,1.0,0,6,-302,Munetaka Murakami,draftkings,-134,101,2026-04-29T15:39:23.928547+00:00,0.3114001974562983,True
2026-04-29,824930,682985,Riley Greene,DET,ATL,A,4,False,1.0,4.3,L,R,1,1,1,0,0.8679245283018868,1,0.391304347826087,2.0,0,2,-657,Riley Greene,draftkings,-204,152,2026-04-29T15:39:23.928547+00:00,0.29337772844987053,True
2026-04-29,824930,679529,Spencer Torkelson,DET,ATL,A,7,False,1.0,4.0,R,R,0,1,1,0,0.7528089887640449,1,0.36363636363636365,2.0,0,2,-305,Spencer Torkelson,draftkings,-148,111,2026-04-29T15:39:23.928547+00:00,0.261463710901913,True
2026-04-29,822907,691176,Jasson Domínguez,NYY,TEX,A,6,True,,4.1,R,R,0,1,1,0,0.7528089887640449,1,0.3333333333333333,2.0,0,9,-305,Jasson Domínguez,draftkings,-149,112,2026-04-29T15:39:23.928547+00:00,0.25804992082045086,True
2026-04-29,822907,676609,José Caballero,NYY,TEX,A,9,True,,3.8,R,R,0,1,1,0,0.7052740434332989,1,0.36363636363636365,2.0,0,9,-239,Jose Caballero,draftkings,-129,-103,2026-04-29T15:39:23.928547+00:00,0.2519981081102749,True
2026-04-29,824608,545361,Mike Trout,LAA,CWS,A,2,True,,4.5,R,R,0,1,1,0,0.8679245283018868,0,0.3,1.0,0,9,-657,Mike Trout,draftkings,-229,170,2026-04-29T15:39:23.928547+00:00,0.24693087253851864,True
2026-04-29,824930,690993,Colt Keith,DET,ATL,A,3,False,0.8461538461538461,4.4,L,R,1,1,1,0,0.8275862068965517,1,0.375,2.0,0,2,-480,Colt Keith,draftkings,-198,148,2026-04-29T15:39:23.928547+00:00,0.24555903866248696,True
2026-04-29,823717,670242,Matt Wallner,MIN,SEA,H,7,True,,3.95,L,R,1,1,1,0,0.6975425330812854,0,0.14285714285714285,1.0,0,6,-231,Matt Wallner,draftkings,-131,-101,2026-04-29T15:39:23.928547+00:00,0.23001774917386975,True
2026-04-29,823633,695578,James Wood,WSH,NYM,A,1,False,1.0,4.6,L,L,0,1,1,0,0.773109243697479,0,0.21052631578947367,1.0,0,2,-341,James Wood,draftkings,-171,128,2026-04-29T15:39:23.928547+00:00,0.2252199125264141,True
2026-04-29,823633,701807,Carson Benge,NYM,WSH,H,1,False,0.9090909090909091,4.55,L,R,1,1,1,0,0.7052740434332989,1,0.3684210526315789,2.0,0,2,-239,Carson Benge,draftkings,-139,105,2026-04-29T15:39:23.928547+00:00,0.21266544158675138,True
2026-04-29,824525,681198,TJ Rumfield,COL,CIN,A,3,False,1.0,4.4,L,L,0,1,1,0,0.7528089887640449,1,0.3181818181818182,2.0,0,2,-305,TJ Rumfield,draftkings,-166,124,2026-04-29T15:39:23.928547+00:00,0.2063083795857587,True
2026-04-29,823717,686527,Dominic Canzone,SEA,MIN,A,7,True,,4.0,L,R,1,1,1,0,0.773109243697479,0,0.25,1.0,0,9,-341,Dominic Canzone,draftkings,-180,135,2026-04-29T15:39:23.928547+00:00,0.20261437908496738,True
2026-04-29,824608,624428,Adam Frazier,LAA,CWS,A,9,True,,3.8,L,R,1,1,1,0,0.7528089887640449,0,0.25,1.0,0,9,-305,Adam Frazier,draftkings,-168,126,2026-04-29T15:39:23.928547+00:00,0.2009095773140716,True
2026-04-29,824525,691720,Kyle Karros,COL,CIN,A,8,False,1.0,3.9,R,L,1,1,1,0,0.731638418079096,0,0.14285714285714285,1.0,0,2,-273,Kyle Karros,draftkings,-156,118,2026-04-29T15:39:23.928547+00:00,0.2006374040272345,True
2026-04-29,823958,689414,Liam Hicks,MIA,LAD,A,5,False,1.0,4.2,L,R,1,1,1,0,0.7528089887640449,0,0.21052631578947367,1.0,0,1,-305,Liam Hicks,draftkings,-170,127,2026-04-29T15:39:23.928547+00:00,0.1956378056840713,True
2026-04-29,823633,696285,Jacob Young,WSH,NYM,A,6,False,0.8461538461538461,4.1,R,L,1,1,1,0,0.7509727626459144,0,0.18181818181818182,1.0,0,2,-302,Jacob Young,draftkings,-170,127,2026-04-29T15:39:23.928547+00:00,0.19272144655527584,True
2026-04-29,824930,681481,Kerry Carpenter,DET,ATL,A,6,False,0.9230769230769231,4.1,L,R,1,1,1,0,0.7528089887640449,0,0.2777777777777778,1.0,0,2,-305,Kerry Carpenter,draftkings,-172,129,2026-04-29T15:39:23.928547+00:00,0.1904886333943036,True
2026-04-29,824525,687859,Troy Johnston,COL,CIN,A,6,False,1.0,4.1,L,L,0,1,1,0,0.7528089887640449,1,0.34782608695652173,2.0,0,2,-305,Troy Johnston,draftkings,-172,129,2026-04-29T15:39:23.928547+00:00,0.1904886333943036,True
2026-04-29,822821,702332,Caleb Durbin,BOS,TOR,A,7,False,0.9230769230769231,4.0,R,L,1,1,1,0,0.731638418079096,0,0.25,1.0,0,6,-273,Caleb Durbin,draftkings,-162,122,2026-04-29T15:39:23.928547+00:00,0.18326707121434044,True
2026-04-29,824930,650402,Gleyber Torres,DET,ATL,A,2,False,0.9230769230769231,4.5,R,R,0,1,1,0,0.782608695652174,0,0.2631578947368421,1.0,0,2,-360,Gleyber Torres,draftkings,-196,147,2026-04-29T15:39:23.928547+00:00,0.18189884649511984,True
2026-04-29,824445,666018,Jonathan Aranda,TB,CLE,A,3,True,,4.4,L,R,1,1,1,0,0.7052740434332989,0,0.22727272727272727,1.0,0,6,-239,Jonathan Aranda,draftkings,-149,112,2026-04-29T15:39:23.928547+00:00,0.17861232761672102,True
2026-04-29,823958,669364,Xavier Edwards,MIA,LAD,A,2,False,1.0,4.5,L,R,1,1,1,0,0.773109243697479,1,0.3333333333333333,2.0,0,1,-341,Xavier Edwards,draftkings,-193,144,2026-04-29T15:39:23.928547+00:00,0.1736839813645666,True
2026-04-29,824930,672761,Wenceel Pérez,DET,ATL,A,6,False,0.9230769230769231,4.1,L,R,1,1,1,0,0.7528089887640449,0,0.25,1.0,0,2,-305,Wenceel Perez,draftkings,-179,134,2026-04-29T15:39:23.928547+00:00,0.17337266963781295,True
2026-04-29,824445,666310,Bo Naylor,CLE,TB,H,8,True,,3.85,L,R,1,1,1,0,0.6035805626598467,0,0.05263157894736842,1.0,0,6,-152,Bo Naylor,draftkings,-106,-125,2026-04-29T15:39:23.928547+00:00,0.17299618781064552,True
2026-04-29,822907,641857,Ryan McMahon,NYY,TEX,A,8,True,,3.9,L,R,1,1,1,0,0.7052740434332989,0,0.2857142857142857,1.0,0,9,-239,Ryan McMahon,draftkings,-151,114,2026-04-29T15:39:23.928547+00:00,0.1723429463692585,True
2026-04-29,823958,681393,Connor Norby,MIA,LAD,A,9,False,0.9090909090909091,3.8,R,R,0,1,1,0,0.6445847088387774,0,0.15789473684210525,1.0,0,1,-181,Connor Norby,draftkings,-123,-108,2026-04-29T15:39:23.928547+00:00,0.16863731765079149,True
2026-04-29,823717,663728,Cal Raleigh,SEA,MIN,A,2,True,,4.5,L,R,1,1,1,0,0.7528089887640449,0,0.2692307692307692,1.0,0,9,-305,Cal Raleigh,draftkings,-183,137,2026-04-29T15:39:23.928547+00:00,0.1641800208755449,True
2026-04-29,823958,690976,Alex Freeland,LAD,MIA,H,9,False,0.8333333333333334,3.75,L,R,1,1,1,0,0.6035805626598467,0,0.26666666666666666,1.0,0,1,-152,Alex Freeland,draftkings,-108,-122,2026-04-29T15:39:23.928547+00:00,0.1624514540115567,True
2026-04-29,824850,701358,Cam Smith,HOU,BAL,A,6,False,1.0,4.1,R,R,0,1,1,0,0.7528089887640449,0,0.14285714285714285,1.0,0,2,-305,Cam Smith,draftkings,-185,138,2026-04-29T15:39:23.928547+00:00,0.15973276647433948,True
2026-04-29,822907,663757,Trent Grisham,NYY,TEX,A,1,True,,4.6,L,R,1,1,1,0,0.7528089887640449,0,0.14285714285714285,1.0,0,9,-305,Trent Grisham,draftkings,-186,139,2026-04-29T15:39:23.928547+00:00,0.15754500422858514,True
2026-04-29,823717,668904,Royce Lewis,MIN,SEA,H,9,True,,3.75,R,R,0,0,1,0,0.6975425330812854,0,0.16666666666666666,1.0,0,6,-231,Royce Lewis,draftkings,-152,115,2026-04-29T15:39:23.928547+00:00,0.15645209431897328,True
