date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-05-02,823554,621493,Taylor Ward,BAL,NYY,A,1,True,,4.6,R,L,1,1,1,0,0.8418079096045198,0,0.1875,1.0,0,2,-532,Taylor Ward,draftkings,-228,169,2026-05-02T16:05:46.772902+00:00,0.2110219050450986,True,1:35 PM ET
2026-05-02,823554,669236,Jeremiah Jackson,BAL,NYY,A,7,True,,4.0,R,L,1,1,1,0,0.7565938206480783,0,0.18181818181818182,1.0,0,2,-311,Jeremiah Jackson,draftkings,-167,125,2026-05-02T16:05:46.772902+00:00,0.20964401265291566,True,1:35 PM ET
2026-05-02,823554,683002,Gunnar Henderson,BAL,NYY,A,2,True,,4.5,L,L,0,1,1,0,0.8075040783034257,0,0.20833333333333334,1.0,0,2,-419,Gunnar Henderson,draftkings,-206,153,2026-05-02T16:05:46.772902+00:00,0.19949634932450622,True,1:35 PM ET
2026-05-02,823554,677942,Blaze Alexander,BAL,NYY,A,9,True,,3.8,R,L,1,1,1,0,0.6679160419790104,0,0.15384615384615385,1.0,0,2,-201,Blaze Alexander,draftkings,-131,-101,2026-05-02T16:05:46.772902+00:00,0.17777561600878944,True,1:35 PM ET
2026-05-02,823554,691723,Coby Mayo,BAL,NYY,A,6,True,,4.1,R,L,1,1,1,0,0.6679160419790104,0,0.16666666666666666,1.0,0,2,-201,Coby Mayo,draftkings,-138,104,2026-05-02T16:05:46.772902+00:00,0.15191317384785857,True,1:35 PM ET
2026-05-02,823715,670242,Matt Wallner,MIN,TOR,H,7,True,,3.95,L,R,1,1,1,0,0.6024844720496895,0,0.1,1.0,0,9,-152,Matt Wallner,draftkings,116,-155,2026-05-02T16:05:46.772902+00:00,0.3013664596273292,True,2:10 PM ET
2026-05-02,823715,663616,Trevor Larnach,MIN,TOR,H,2,True,,4.45,L,R,1,1,1,0,0.7565938206480783,0,0.2857142857142857,1.0,0,9,-311,Trevor Larnach,draftkings,-162,122,2026-05-02T16:05:46.772902+00:00,0.22362704327034888,True,2:10 PM ET
2026-05-02,823715,665019,Kody Clemens,MIN,TOR,H,5,True,,4.15,L,R,1,1,1,0,0.6679160419790104,0,0.2727272727272727,1.0,0,9,-201,Kody Clemens,draftkings,-139,104,2026-05-02T16:05:46.772902+00:00,0.14843118009340645,True,2:10 PM ET
2026-05-02,823715,656484,Tristan Gray,MIN,TOR,H,9,True,,3.75,L,R,1,1,1,0,0.5793991416309013,0,0.25,1.0,0,9,-138,Tristan Gray,draftkings,-105,-126,2026-05-02T16:05:46.772902+00:00,0.13120784794604545,True,2:10 PM ET
2026-05-02,824685,571448,Nolan Arenado,AZ,CHC,A,6,True,,4.1,R,L,1,1,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Nolan Arenado,draftkings,-130,-102,2026-05-02T16:05:46.772902+00:00,0.4286610616137533,True,2:20 PM ET
