date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,outcome,hits_actual,pnl,pnl_weighted
2026-04-24,824529,663330,Jahmai Jones,DET,CIN,A,1,4.6,R,L,1,1,1,0,0.7752284606297811,-345,Jahmai Jones,draftkings,140,-182,2026-04-24T23:33:55.537294+00:00,0.8605483055114745,True,hit,1,1.4,0.0
2026-04-24,823638,664983,Jake McCarthy,COL,NYM,A,8,3.9,L,R,1,1,1,0,0.6732610662778219,-206,Jake McCarthy,draftkings,145,-188,2026-04-24T23:33:55.537294+00:00,0.6494896123806636,True,hit,1,1.45,0.0
2026-04-24,824529,677956,Rece Hinds,CIN,DET,H,8,3.85,R,L,1,1,1,0,0.6773799856503805,-210,Rece Hinds,draftkings,130,-168,2026-04-24T23:33:55.537294+00:00,0.5579739669958752,True,hit,1,1.3,0.0
2026-04-24,823638,691720,Kyle Karros,COL,NYM,A,6,4.1,R,R,0,1,1,0,0.7059922615687052,-240,Kyle Karros,draftkings,120,-154,2026-04-24T23:33:55.537294+00:00,0.5531829754511515,True,hit,1,1.2,0.0
2026-04-24,822992,663616,Trevor Larnach,MIN,TB,A,2,4.5,L,R,1,1,1,0,0.723954975605011,-262,Trevor Larnach,draftkings,105,-135,2026-04-24T23:33:55.537294+00:00,0.4841076999902726,True,hit,1,1.05,0.0
2026-04-24,823638,687859,Troy Johnston,COL,NYM,A,5,4.2,L,R,1,1,1,0,0.7095703482627869,-244,Troy Johnston,draftkings,105,-135,2026-04-24T23:33:55.537294+00:00,0.4546192139387131,True,hit,1,1.05,0.0
2026-04-24,822827,666310,Bo Naylor,CLE,TOR,A,8,3.9,L,R,1,1,1,0,0.7718824942906698,-338,Bo Naylor,draftkings,-115,-115,2026-04-24T23:33:55.537294+00:00,0.4430846632390782,True,hit,1,0.8695652173913043,0.0
2026-04-24,822992,668904,Royce Lewis,MIN,TB,A,6,4.1,R,R,0,1,1,0,0.6840939124425253,-217,Royce Lewis,draftkings,110,-142,2026-04-24T23:33:55.537294+00:00,0.4365972161293031,True,hit,1,1.1,0.0
2026-04-24,822992,665019,Kody Clemens,MIN,TB,A,5,4.2,L,R,1,1,1,0,0.678912897904714,-211,Kody Clemens,draftkings,110,-142,2026-04-24T23:33:55.537294+00:00,0.4257170855998994,True,hit,1,1.1,0.0
2026-04-24,822992,666018,Jonathan Aranda,TB,MIN,H,3,4.35,L,R,1,1,1,0,0.7371985713640848,-281,Jonathan Aranda,draftkings,-110,-120,2026-04-24T23:33:55.537294+00:00,0.4073790907859801,True,hit,2,0.9090909090909092,0.0
2026-04-24,822827,700932,Kyle Manzardo,CLE,TOR,A,4,4.3,L,R,1,1,1,0,0.7798245747884115,-354,Kyle Manzardo,draftkings,-125,-105,2026-04-24T23:33:55.537294+00:00,0.4036842346191407,True,miss,0,-1.0,0.0
2026-04-24,823638,696100,Hunter Goodman,COL,NYM,A,2,4.5,R,R,0,1,1,0,0.7308852672576904,-272,Hunter Goodman,draftkings,-110,-120,2026-04-24T23:33:55.537294+00:00,0.3953264193101362,True,hit,1,0.9090909090909092,0.0
2026-04-24,822992,670764,Taylor Walls,TB,MIN,H,9,3.75,L,R,1,1,1,0,0.6787537535031637,-211,Taylor Walls,draftkings,105,-135,2026-04-24T23:33:55.537294+00:00,0.3914451946814856,True,miss,0,-1.0,0.0
2026-04-24,823638,681198,TJ Rumfield,COL,NYM,A,3,4.4,L,R,1,1,1,0,0.712365726629893,-248,TJ Rumfield,draftkings,-105,-125,2026-04-24T23:33:55.537294+00:00,0.3908092758012195,True,hit,1,0.9523809523809524,0.0
2026-04-24,824529,663886,Tyler Stephenson,CIN,DET,H,7,3.95,R,L,1,1,1,0,0.6894977887471517,-222,Tyler Stephenson,draftkings,100,-130,2026-04-24T23:33:55.537294+00:00,0.3789955774943034,True,hit,1,1.0,0.0
2026-04-24,824854,575929,Willson Contreras,BOS,BAL,A,4,4.3,R,R,0,1,1,0,0.7860608299573263,-367,Willson Contreras,draftkings,-135,105,2026-04-24T23:33:55.537294+00:00,0.3683281114071975,True,miss,0,-1.0,0.0
2026-04-24,823638,665742,Juan Soto,NYM,COL,H,2,4.45,L,R,1,1,1,0,0.8015633225440979,-404,Juan Soto,draftkings,-142,110,2026-04-24T23:33:55.537294+00:00,0.3660445356033217,True,hit,1,0.704225352112676,0.0
2026-04-24,822992,656484,Tristan Gray,MIN,TB,A,9,3.8,L,R,1,1,1,0,0.6988821427027384,-232,Tristan Gray,draftkings,-105,-125,2026-04-24T23:33:55.537294+00:00,0.364484183372013,True,hit,1,0.9523809523809524,0.0
2026-04-24,823800,669003,Garrett Mitchell,MIL,PIT,H,6,4.05,L,R,1,1,1,0,0.705715537071228,-240,Garrett Mitchell,draftkings,-108,-123,2026-04-24T23:33:55.537294+00:00,0.3591558491742169,True,miss,0,-1.0,0.0
2026-04-24,824854,665966,Carlos Narváez,BOS,BAL,A,9,3.8,R,R,0,1,1,0,0.7798245747884115,-354,Carlos Narvaez,draftkings,-135,105,2026-04-24T23:33:55.537294+00:00,0.3574724079650125,True,hit,1,0.7407407407407407,0.0
2026-04-24,824932,669016,Brandon Marsh,PHI,ATL,A,5,4.2,L,R,1,1,1,0,0.7667633493741354,-329,Brandon Marsh,draftkings,-130,100,2026-04-24T23:33:55.537294+00:00,0.3565813104311626,True,hit,1,0.7692307692307693,0.0
2026-04-24,822992,670242,Matt Wallner,MIN,TB,A,7,4.0,L,R,1,1,1,0,0.6912160714467367,-224,Matt Wallner,draftkings,-105,-125,2026-04-24T23:33:55.537294+00:00,0.3495170918722001,True,hit,1,0.9523809523809524,0.0
2026-04-24,823638,671289,Tyler Freeman,COL,NYM,A,4,4.3,R,R,0,1,1,0,0.7154145439465841,-251,Tyler Freeman,draftkings,-115,-115,2026-04-24T23:33:55.537294+00:00,0.3375141473783963,True,hit,1,0.8695652173913043,0.0
2026-04-24,822992,605170,Victor Caratini,MIN,TB,A,4,4.3,L,R,1,1,1,0,0.723954975605011,-262,Victor Caratini,draftkings,-120,-110,2026-04-24T23:33:55.537294+00:00,0.3272507886091869,True,miss,0,-1.0,0.0
2026-04-24,824529,650402,Gleyber Torres,DET,CIN,A,2,4.5,R,L,1,1,1,0,0.709631343682607,-244,Gleyber Torres,draftkings,-115,-115,2026-04-24T23:33:55.537294+00:00,0.3267020773196566,True,miss,0,-1.0,0.0
2026-04-24,822992,668885,Austin Martin,MIN,TB,A,3,4.4,R,R,0,1,1,0,0.7013606429100037,-235,Austin Martin,draftkings,-115,-115,2026-04-24T23:33:55.537294+00:00,0.3112394628317459,True,hit,1,0.8695652173913043,0.0
2026-04-24,824529,701398,Sal Stewart,CIN,DET,H,4,4.25,R,L,1,1,1,0,0.7798245747884115,-354,Sal Stewart,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.3067330712670679,True,miss,0,-1.0,0.0
2026-04-24,824529,679529,Spencer Torkelson,DET,CIN,A,7,4.0,R,L,1,1,1,0,0.709631343682607,-244,Spencer Torkelson,draftkings,-120,-110,2026-04-24T23:33:55.537294+00:00,0.3009907967514462,True,hit,2,0.8333333333333334,0.0
2026-04-24,823638,666160,Mickey Moniak,COL,NYM,A,1,4.6,L,R,1,1,1,0,0.7090410788853964,-244,Mickey Moniak,draftkings,-120,-110,2026-04-24T23:33:55.537294+00:00,0.2999086446232266,True,hit,1,0.8333333333333334,0.0
2026-04-24,824529,701678,Hao-Yu  Lee,DET,CIN,A,8,3.9,R,L,1,1,1,0,0.7172240614891052,-254,Hao-Yu Lee,draftkings,-125,-105,2026-04-24T23:33:55.537294+00:00,0.2910033106803894,True,miss,0,-1.0,0.0
2026-04-24,822827,608070,José Ramírez,CLE,TOR,A,3,4.4,L,R,1,1,1,0,0.8006875912348429,-402,Jose Ramirez,draftkings,-168,130,2026-04-24T23:33:55.537294+00:00,0.2772873479222494,True,hit,1,0.5952380952380952,0.0
2026-04-24,823800,641343,Jake Bauers,MIL,PIT,H,3,4.35,L,R,1,1,1,0,0.712365726629893,-248,Jake Bauers,draftkings,-129,-103,2026-04-24T23:33:55.537294+00:00,0.2645872201414379,True,hit,1,0.7751937984496124,0.0
2026-04-24,824932,656941,Kyle Schwarber,PHI,ATL,A,2,4.5,L,R,1,1,1,0,0.7114834388097128,-247,Kyle Schwarber,draftkings,-130,100,2026-04-24T23:33:55.537294+00:00,0.258778391740261,True,miss,0,-1.0,0.0
2026-04-24,824854,691785,Marcelo Mayer,BOS,BAL,A,7,4.0,L,R,1,1,1,0,0.7502293984095255,-300,Marcelo Mayer,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.2571411540916373,True,hit,2,0.6756756756756757,0.0
2026-04-24,824932,547180,Bryce Harper,PHI,ATL,A,3,4.4,L,R,1,1,1,0,0.7587698300679525,-315,Bryce Harper,draftkings,-154,120,2026-04-24T23:33:55.537294+00:00,0.2514775119302593,True,hit,1,0.6493506493506493,0.0
2026-04-24,822827,800050,Chase DeLauter,CLE,TOR,A,2,4.5,L,R,1,1,1,0,0.792191763718923,-381,Chase DeLauter,draftkings,-175,135,2026-04-24T23:33:55.537294+00:00,0.2448727715583075,True,miss,0,-1.0,0.0
2026-04-24,824529,663647,Ke'Bryan Hayes,CIN,DET,H,9,3.75,R,L,1,1,1,0,0.7697195212046305,-334,Ke'Bryan Hayes,draftkings,-162,126,2026-04-24T23:33:55.537294+00:00,0.244855028121069,True,miss,0,-1.0,0.0
2026-04-24,824529,680574,Matt McLain,CIN,DET,H,2,4.45,R,L,1,1,1,0,0.6913045446077982,-224,Matt McLain,draftkings,-125,-105,2026-04-24T23:33:55.537294+00:00,0.2443481802940368,True,hit,2,0.8,0.0
2026-04-24,822992,802415,Chandler Simpson,TB,MIN,H,1,4.55,L,R,1,1,1,0,0.7414523561795553,-287,Chandler Simpson,draftkings,-148,115,2026-04-24T23:33:55.537294+00:00,0.242433677922498,True,miss,0,-1.0,0.0
