date,game_pk,player_id,player_name,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,fair_american,edge,filter_e_pass
2026-04-26,823635,669004,MJ Melendez,NYM,COL,H,5,False,0.5454545454545454,4.15,L,L,0,0,1,0,0.8709273338317871,-675,,False
2026-04-26,824202,670541,Yordan Alvarez,HOU,NYY,H,2,False,1.0,4.45,L,R,1,1,1,0,0.8036883672078451,-409,,False
2026-04-26,823635,596019,Francisco Lindor,NYM,COL,H,1,False,0.8181818181818182,4.55,L,L,0,0,1,0,0.8015633225440979,-404,,False
2026-04-26,824612,695734,Daylen Lile,WSH,CWS,A,4,False,0.9230769230769231,4.3,L,R,1,1,1,0,0.8006875912348429,-402,,False
2026-04-26,824612,695578,James Wood,WSH,CWS,A,1,False,1.0,4.6,L,R,1,1,1,0,0.8006875912348429,-402,,False
2026-04-26,822911,701762,Nick Kurtz,ATH,TEX,A,1,False,1.0,4.6,L,R,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,822911,666126,Carlos Cortes,ATH,TEX,A,3,False,0.9166666666666666,4.4,L,R,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,824612,682928,CJ Abrams,WSH,CWS,A,4,False,1.0,4.3,L,R,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,823068,680977,Brendan Donovan,SEA,STL,A,1,False,0.5,4.6,L,R,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,823635,666182,Bo Bichette,NYM,COL,H,4,False,1.0,4.25,R,L,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,824528,667472,Dane Myers,CIN,DET,H,1,False,0.7272727272727273,4.55,R,R,0,0,1,0,0.792191763718923,-381,,False
2026-04-26,824528,693307,Dillon Dingler,DET,CIN,A,5,False,0.8333333333333334,4.2,R,R,0,1,1,0,0.792191763718923,-381,,False
2026-04-26,824528,805808,Kevin McGonigle,DET,CIN,A,1,False,0.9166666666666666,4.6,L,R,1,1,1,0,0.792191763718923,-381,,False
2026-04-26,824202,621043,Carlos Correa,HOU,NYY,H,1,False,0.9166666666666666,4.55,R,R,0,0,1,0,0.792191763718923,-381,,False
2026-04-26,823635,543760,Marcus Semien,NYM,COL,H,7,False,1.0,3.95,R,L,1,1,1,0,0.7860751152038574,-367,,False
2026-04-26,824528,663330,Jahmai Jones,DET,CIN,A,3,False,0.6666666666666666,4.4,R,R,0,1,1,0,0.7819614013036092,-359,,False
2026-04-26,824612,696285,Jacob Young,WSH,CWS,A,5,False,0.8461538461538461,4.2,R,R,0,1,1,0,0.7798245747884115,-354,,False
2026-04-26,824934,642086,Dominic Smith,ATL,PHI,H,7,False,0.75,3.95,L,R,1,1,1,0,0.7798245747884115,-354,,False
2026-04-26,823068,670042,Luke Raley,SEA,STL,A,6,False,1.0,4.1,L,R,1,1,1,0,0.7798245747884115,-354,,False
2026-04-26,822824,665489,Vladimir Guerrero Jr.,TOR,CLE,H,3,False,1.0,4.35,R,R,0,0,1,0,0.7798245747884115,-354,,False
2026-04-26,823230,669364,Xavier Edwards,MIA,SF,A,2,False,1.0,4.5,L,R,1,1,1,0,0.7798245747884115,-354,,False
2026-04-26,825094,665487,Fernando Tatis Jr.,SD,AZ,A,2,False,0.9,4.5,R,R,0,1,1,0,0.7757108608881632,-346,,False
2026-04-26,823068,647304,Josh Naylor,SEA,STL,A,4,False,0.9166666666666666,4.3,L,R,1,1,1,0,0.7757108608881632,-346,,False
2026-04-26,823230,689414,Liam Hicks,MIA,SF,A,4,False,1.0,4.3,L,R,1,1,1,0,0.7757108608881632,-346,,False
2026-04-26,825094,593428,Xander Bogaerts,SD,AZ,A,5,False,1.0,4.2,R,R,0,1,1,0,0.7756903966267904,-346,,False
