date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass
2026-04-29,825015,643446,Jeff McNeil,ATH,KC,H,6,False,0.8888888888888888,4.05,L,R,1,1,1,0,0.7509727626459144,1,0.3333333333333333,2.0,0,1,-302,Jeff McNeil,draftkings,176,-234,2026-04-29T03:04:22.714228+00:00,1.0726848249027237,True
2026-04-29,823312,630105,Jake Cronenworth,SD,CHC,H,9,False,1.0,3.75,L,R,1,1,1,0,0.6035805626598467,0,0.23529411764705882,1.0,0,1,-152,Jake Cronenworth,draftkings,230,-320,2026-04-29T03:04:22.714228+00:00,0.9918158567774942,True
2026-04-29,823312,664023,Ian Happ,CHC,SD,A,4,False,1.0,4.3,L,R,1,1,1,0,0.5833333333333334,1,0.3333333333333333,2.0,0,1,-140,Ian Happ,draftkings,220,-300,2026-04-29T03:04:22.714228+00:00,0.8666666666666668,True
2026-04-29,823312,657757,Gavin Sheets,SD,CHC,H,6,False,1.0,4.05,L,R,1,1,1,0,0.6431670281995663,0,0.16666666666666666,1.0,0,1,-180,Gavin Sheets,draftkings,190,-255,2026-04-29T03:04:22.714228+00:00,0.8651843817787421,True
2026-04-29,825015,701762,Nick Kurtz,ATH,KC,H,1,False,1.0,4.55,L,R,1,1,1,0,0.7528089887640449,1,0.36363636363636365,2.0,0,1,-305,Nick Kurtz,draftkings,120,-154,2026-04-29T03:04:22.714228+00:00,0.6561797752808988,True
2026-04-29,823312,683737,Michael Busch,CHC,SD,A,2,False,1.0,4.5,L,R,1,1,1,0,0.4696969696969697,0,0.2962962962962963,1.0,0,1,113,Michael Busch,draftkings,230,-320,2026-04-29T03:04:22.714228+00:00,0.55,True
2026-04-29,825015,691016,Tyler Soderstrom,ATH,KC,H,4,False,1.0,4.25,L,R,1,1,1,0,0.6431670281995663,0,0.28,1.0,0,1,-180,Tyler Soderstrom,draftkings,135,-175,2026-04-29T03:04:22.714228+00:00,0.5114425162689809,True
2026-04-29,823312,701538,Jackson Merrill,SD,CHC,H,3,False,1.0,4.35,L,R,1,1,1,0,0.6312684365781711,0,0.045454545454545456,1.0,0,1,-171,Jackson Merrill,draftkings,115,-148,2026-04-29T03:04:22.714228+00:00,0.3572271386430679,True
2026-04-29,823312,665487,Fernando Tatis Jr.,SD,CHC,H,2,False,0.875,4.45,R,R,0,0,1,0,0.6431670281995663,0,0.25,1.0,0,1,-180,Fernando Tatis Jr.,draftkings,110,-142,2026-04-29T03:04:22.714228+00:00,0.3506507592190893,True
2026-04-29,825015,677951,Bobby Witt Jr.,KC,ATH,A,2,False,1.0,4.5,R,R,0,1,1,0,0.7528089887640449,1,0.34782608695652173,2.0,0,1,-305,Bobby Witt Jr.,draftkings,-130,100,2026-04-29T03:04:22.714228+00:00,0.33189282627484873,True
2026-04-29,823958,805300,Jakob Marsee,MIA,LAD,A,1,False,1.0,4.6,L,R,1,1,1,0,0.6035805626598467,0,0.25,1.0,0,1,-152,Jakob Marsee,draftkings,120,-154,2026-04-29T03:04:22.714228+00:00,0.3278772378516628,True
2026-04-29,823312,691718,Pete Crow-Armstrong,CHC,SD,A,8,False,1.0,3.9,L,R,1,1,1,0,0.5,1,0.35,2.0,0,1,-100,Pete Crow-Armstrong,draftkings,160,-212,2026-04-29T03:04:22.714228+00:00,0.30000000000000004,True
2026-04-29,823958,688363,Graham Pauley,MIA,LAD,A,8,False,0.875,3.9,L,R,1,1,1,0,0.5,1,0.3076923076923077,2.0,0,1,-100,Graham Pauley,draftkings,160,-212,2026-04-29T03:04:22.714228+00:00,0.30000000000000004,True
2026-04-29,823312,663538,Nico Hoerner,CHC,SD,A,1,False,1.0,4.6,R,R,0,1,1,0,0.6035805626598467,0,0.2222222222222222,1.0,0,1,-152,Nico Hoerner,draftkings,115,-148,2026-04-29T03:04:22.714228+00:00,0.29769820971867045,True
2026-04-29,824608,808959,Munetaka Murakami,CWS,LAA,H,2,False,1.0,4.45,L,L,0,0,1,0,0.6975425330812854,1,0.4,2.0,0,1,-231,Munetaka Murakami,draftkings,-147,111,2026-04-29T03:04:22.714228+00:00,0.17206126306855446,True
