decile,n,pred_mean,actual_hit_rate,gap
1,1006,0.6121295844288043,0.6003976143141153,-0.011731970114688961
2,997,0.6485456463406613,0.6218655967903711,-0.02668004955029013
3,993,0.6673020378140324,0.6565961732124874,-0.01070586460154499
4,1010,0.6814352872348067,0.6643564356435644,-0.01707885159124234
5,988,0.6936010092939281,0.6973684210526315,0.0037674117587034317
6,987,0.7044807113090588,0.6960486322188449,-0.008432079090213818
7,1111,0.7168587361625318,0.7146714671467147,-0.002187269015817117
8,897,0.7282126333934141,0.717948717948718,-0.010263915444696181
9,1047,0.7412338153794479,0.720152817574021,-0.021080997805426827
10,933,0.7799299071626435,0.7909967845659164,0.011066877403272835
