feature,importance
home_away_is_home,0.047077347
exp_pa,0.047010124
bat_xba_vs_opphand,0.04231274
sp_k_pct,0.037734877
bat_k_pct_vs_opphand,0.03321794
bat_xba_season,0.031348046
sp_k_pct_allowed_vs_bathand,0.028388038
bat_k_pct,0.028033331
sp_xba_allowed_vs_bathand,0.026137838
sp_contact_pct_allowed,0.025251001
sp_xba_allowed,0.023095885
bat_line_drive_pct,0.021186339
sp_contact_pct_allowed_30d,0.020674592
sp_sweet_spot_allowed,0.020593094
sp_k_pct_30d,0.020563444
bat_sweet_spot_pct,0.020054357
xba_diff,0.01995699
singles_park_factor,0.019949164
batting_order,0.019698331
park_factor,0.01952742
pen_k_pct,0.019332984
sp_hard_hit_allowed,0.019100467
exposure_wtd_opp_xba,0.019073365
sp_hard_hit_allowed_14d,0.018776985
sp_hard_hit_allowed_30d,0.018660089
ba_14d,0.018619169
sp_zone_pct,0.018421352
sp_xba_allowed_14d,0.018395139
ba_30d,0.018315881
TBF_30d,0.018303284
PA_30d,0.018291496
sp_xba_allowed_30d,0.018139288
sp_contact_pct_allowed_14d,0.018103002
hard_hit_pct_14d,0.018037954
TBF_14d,0.017976804
pen_xba_allowed,0.017890334
PA_14d,0.017741784
bat_hard_hit_pct,0.017658843
hard_hit_pct_30d,0.017638182
xba_14d,0.017361907
sweet_spot_pct_14d,0.01712179
sp_k_pct_14d,0.016741363
platoon_advantage,0.016587183
xba_30d,0.016224856
sweet_spot_pct_30d,0.015675586
pitcher_low_sample,0.0
